Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.76,0.72,0.39,0.07
verw,0.9,0.79,0.47,0.02
sparkont,1.0,1.0,0.99,0.83
beszeit,0.95,0.93,0.81,0.19
rate,0.91,0.91,0.71,0.31
famges,1.0,0.99,0.98,0.71
buerge,0.23,0.31,0.09,0.04
wohnzeit,0.92,0.91,0.74,0.28
verm,1.0,1.0,0.99,0.79
weitkred,0.46,0.51,0.22,0.04
wohn,1.0,1.0,0.99,0.85
bishkred,0.66,0.58,0.32,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.5,0.6,0.33,0.17
telef,0.95,0.96,0.9,0.63
gastarb,0.98,0.99,0.97,0.78
kredit,0.76,0.82,0.61,0.34
