Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.92,0.48
moral,0.82,0.79,0.47,0.1
verw,0.88,0.74,0.43,0.0
sparkont,0.89,0.89,0.63,0.25
beszeit,0.94,0.93,0.77,0.2
rate,0.91,0.91,0.71,0.31
famges,0.89,0.88,0.67,0.26
buerge,0.35,0.42,0.15,0.05
wohnzeit,0.94,0.93,0.79,0.31
verm,0.99,0.99,0.96,0.65
weitkred,0.51,0.57,0.26,0.07
wohn,0.92,0.93,0.78,0.39
bishkred,0.66,0.56,0.32,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.65,0.73,0.48,0.25
telef,0.96,0.97,0.93,0.68
gastarb,0.71,0.78,0.55,0.3
kredit,0.86,0.89,0.75,0.45
