Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.15
moral,0.81,0.78,0.46,0.1
verw,0.88,0.76,0.46,0.0
sparkont,0.72,0.72,0.34,0.08
beszeit,0.94,0.92,0.76,0.17
rate,0.9,0.9,0.7,0.26
famges,0.76,0.73,0.44,0.07
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.94,0.93,0.78,0.3
verm,0.98,0.98,0.92,0.48
weitkred,0.52,0.58,0.27,0.08
wohn,0.72,0.76,0.47,0.18
bishkred,0.65,0.55,0.32,0.01
beruf,0.83,0.86,0.62,0.27
pers,0.63,0.71,0.46,0.24
telef,0.97,0.98,0.93,0.69
gastarb,0.21,0.31,0.12,0.06
kredit,0.85,0.89,0.74,0.44
