Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,0.99,0.98,0.71
moral,0.79,0.76,0.43,0.09
verw,0.89,0.77,0.48,0.01
sparkont,1.0,1.0,0.98,0.72
beszeit,0.95,0.93,0.8,0.17
rate,0.91,0.91,0.71,0.29
famges,0.99,0.99,0.97,0.65
buerge,0.26,0.34,0.11,0.05
wohnzeit,0.92,0.92,0.75,0.29
verm,1.0,1.0,0.99,0.79
weitkred,0.51,0.56,0.26,0.07
wohn,1.0,1.0,0.99,0.83
bishkred,0.69,0.62,0.36,0.02
beruf,0.76,0.73,0.44,0.03
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.92,0.66
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.73,0.43
