Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.58
moral,0.81,0.77,0.45,0.07
verw,0.89,0.79,0.48,0.02
sparkont,0.96,0.95,0.81,0.39
beszeit,0.95,0.93,0.78,0.18
rate,0.91,0.91,0.73,0.31
famges,0.95,0.95,0.83,0.41
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.25
verm,1.0,1.0,0.99,0.83
weitkred,0.56,0.6,0.29,0.06
wohn,0.96,0.97,0.89,0.51
bishkred,0.67,0.61,0.34,0.03
beruf,0.7,0.66,0.37,0.01
pers,0.61,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.86,0.9,0.76,0.46
kredit,0.85,0.89,0.74,0.44
