44, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,72, Dominican-Republic, >50K
50, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Ireland, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, England, <=50K
43, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,15, El-Salvador, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
26, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,15, El-Salvador, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, Ecuador, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
35, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
55, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, South, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
31, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Canada, <=50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,10, Cuba, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,25, Poland, <=50K
27, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,45, Vietnam, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,46810,0,50, Columbia, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
53, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
40, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, China, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
59, Private, Bachelors, Divorced, Sales, Not-in-family, Black, Male,0,0,48, Dominican-Republic, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,45, Germany, <=50K
29, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,15, Cambodia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
59, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Thailand, <=50K
29, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Scotland, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2774,0,60, El-Salvador, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Nicaragua, >50K
78, Federal-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,10, Japan, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Japan, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
40, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,60, Poland, >50K
57, Federal-gov, 5th-6th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,28, England, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Husband, Black, Female,0,1861,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
27, Private, Assoc-voc, Separated, Other-service, Wife, Black, Male,0,0,40, Japan, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
51, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, <=50K
51, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,48, Ecuador, <=50K
37, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, India, <=50K
28, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
30, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,51, Jamaica, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Japan, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,44, Taiwan, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
26, Private, 10th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, Ecuador, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,38, Canada, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, Yugoslavia, >50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,42, Taiwan, >50K
33, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
42, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, <=50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
46, Federal-gov, Some-college, Married-spouse-absent, Adm-clerical, Wife, White, Male,0,0,20, Jamaica, <=50K
49, Self-emp-inc, Assoc-acdm, Married-spouse-absent, Adm-clerical, Husband, White, Male,4585,0,60, India, <=50K
38, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
19, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,20, Germany, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,15024,0,40, Ireland, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Japan, <=50K
24, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
22, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,45, Jamaica, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Wife, Other, Female,0,0,35, Ecuador, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Taiwan, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
31, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
24, Private, 12th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,82, South, >50K
47, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Honduras, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,16, Ireland, <=50K
21, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,44, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Trinadad&Tobago, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
34, Private, Doctorate, Married-civ-spouse, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Female,0,0,65, China, >50K
59, Private, Prof-school, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,86765,0,60, Hong, >50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Taiwan, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,44, Guatemala, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,2268,0,40, Trinadad&Tobago, >50K
28, Private, HS-grad, Married-spouse-absent, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, England, <=50K
