Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.82,0.26
moral,0.82,0.79,0.48,0.1
verw,0.89,0.78,0.48,0.01
sparkont,0.78,0.78,0.42,0.11
beszeit,0.93,0.92,0.74,0.17
rate,0.9,0.9,0.7,0.27
famges,0.82,0.8,0.53,0.12
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.95,0.94,0.81,0.37
verm,0.98,0.98,0.93,0.51
weitkred,0.5,0.56,0.25,0.06
wohn,0.75,0.78,0.5,0.19
bishkred,0.67,0.6,0.33,0.03
beruf,0.74,0.73,0.42,0.05
pers,0.58,0.67,0.41,0.22
telef,0.95,0.96,0.91,0.64
gastarb,0.35,0.46,0.21,0.11
kredit,0.84,0.88,0.73,0.43
