Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,0.99,0.98,0.75
moral,0.8,0.76,0.44,0.07
verw,0.89,0.78,0.45,0.02
sparkont,0.99,0.98,0.93,0.54
beszeit,0.95,0.93,0.79,0.19
rate,0.88,0.88,0.64,0.25
famges,0.98,0.98,0.92,0.53
buerge,0.3,0.38,0.12,0.04
wohnzeit,0.92,0.91,0.74,0.27
verm,1.0,1.0,1.0,0.91
weitkred,0.5,0.55,0.25,0.06
wohn,0.96,0.97,0.9,0.52
bishkred,0.64,0.57,0.31,0.01
beruf,0.71,0.69,0.38,0.03
pers,0.47,0.58,0.31,0.16
telef,0.94,0.96,0.88,0.6
gastarb,0.31,0.42,0.18,0.09
kredit,0.85,0.89,0.74,0.45
