68, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
50, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, Laos, >50K
48, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,8, Germany, <=50K
61, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, France, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, France, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, England, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, El-Salvador, <=50K
37, Local-gov, Masters, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
39, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Mexico, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,46, Portugal, >50K
41, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Trinadad&Tobago, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, Yugoslavia, <=50K
36, Private, Assoc-acdm, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
32, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, Columbia, <=50K
54, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Male,0,0,25, El-Salvador, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,65, Haiti, >50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7298,0,50, Canada, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,80, Yugoslavia, >50K
45, Private, Prof-school, Never-married, Exec-managerial, Unmarried, Other, Male,0,2225,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,8, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, France, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Honduras, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1982,40, Honduras, >50K
54, State-gov, HS-grad, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
37, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
30, Local-gov, Bachelors, Never-married, Adm-clerical, Other-relative, Other, Male,7298,0,40, Peru, >50K
29, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Peru, <=50K
45, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
28, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
24, Local-gov, 5th-6th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,37, Germany, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Iran, <=50K
40, Federal-gov, HS-grad, Married-spouse-absent, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,30, Portugal, >50K
49, Private, Assoc-acdm, Widowed, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,37, India, <=50K
24, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, Dominican-Republic, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, El-Salvador, <=50K
53, Private, Assoc-acdm, Separated, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Scotland, >50K
54, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Ecuador, >50K
23, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,35, Nicaragua, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
38, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, China, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Yugoslavia, >50K
55, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,43,48, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Thailand, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, Hong, <=50K
20, Private, 12th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,45, Jamaica, <=50K
59, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,10, Greece, <=50K
25, Private, Bachelors, Never-married, Protective-serv, Husband, White, Female,0,1565,40, Guatemala, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Other-relative, Other, Male,2738,0,50, Peru, >50K
33, Private, 12th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, England, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,20, Ecuador, <=50K
45, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Haiti, <=50K
50, Private, 9th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, 7th-8th, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, China, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Laos, >50K
27, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Columbia, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Ireland, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
57, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1739,50, Honduras, >50K
28, Private, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,4540,0,45, China, <=50K
56, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,40, Germany, <=50K
27, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,45, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,18, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
