25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,8614,0,50, Dominican-Republic, >50K
20, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Iran, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
57, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Other, Male,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
31, Private, 7th-8th, Married-spouse-absent, Sales, Husband, Black, Female,0,0,60, El-Salvador, >50K
52, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,15016,0,50, Ecuador, >50K
21, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,48, Yugoslavia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Dominican-Republic, >50K
52, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
32, Private, 5th-6th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
24, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,48, Nicaragua, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,15, Cambodia, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
66, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,1902,40, Vietnam, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
39, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,70, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
