Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.87
moral,0.79,0.75,0.43,0.08
verw,0.91,0.82,0.54,0.03
sparkont,1.0,1.0,0.99,0.79
beszeit,0.95,0.93,0.78,0.19
rate,0.92,0.93,0.76,0.33
famges,1.0,1.0,0.98,0.73
buerge,0.28,0.36,0.11,0.04
wohnzeit,0.92,0.91,0.74,0.24
verm,1.0,1.0,0.99,0.83
weitkred,0.52,0.56,0.27,0.04
wohn,1.0,1.0,0.99,0.82
bishkred,0.68,0.62,0.35,0.03
beruf,0.7,0.69,0.37,0.03
pers,0.64,0.72,0.47,0.25
telef,0.97,0.98,0.95,0.72
gastarb,1.0,1.0,0.99,0.89
kredit,0.87,0.91,0.78,0.48
