Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.77,0.19
moral,0.79,0.76,0.43,0.08
verw,0.9,0.8,0.51,0.01
sparkont,0.73,0.72,0.35,0.07
beszeit,0.95,0.93,0.78,0.24
rate,0.9,0.9,0.68,0.24
famges,0.75,0.72,0.43,0.08
buerge,0.29,0.37,0.12,0.06
wohnzeit,0.94,0.93,0.78,0.34
verm,0.98,0.98,0.93,0.51
weitkred,0.53,0.59,0.28,0.07
wohn,0.7,0.74,0.43,0.16
bishkred,0.68,0.62,0.35,0.03
beruf,0.71,0.69,0.38,0.03
pers,0.64,0.72,0.47,0.25
telef,0.96,0.97,0.93,0.68
gastarb,0.19,0.28,0.1,0.05
kredit,0.83,0.87,0.71,0.42
