48, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
50, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, Ireland, >50K
66, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,36, England, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
30, Private, 1st-4th, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
37, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
56, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
39, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, South, <=50K
21, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,8871,0,60, South, <=50K
57, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,52, Canada, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
40, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
57, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, >50K
