Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.86
moral,0.81,0.78,0.47,0.12
verw,0.89,0.76,0.44,0.0
sparkont,1.0,1.0,0.99,0.82
beszeit,0.94,0.92,0.75,0.17
rate,0.91,0.92,0.73,0.32
famges,0.99,0.99,0.98,0.73
buerge,0.32,0.4,0.14,0.06
wohnzeit,0.94,0.94,0.81,0.35
verm,1.0,1.0,0.99,0.82
weitkred,0.51,0.57,0.26,0.06
wohn,1.0,1.0,1.0,0.91
bishkred,0.67,0.58,0.33,0.01
beruf,0.74,0.73,0.41,0.05
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.67
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.72,0.43
