Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.97,0.69
moral,0.79,0.74,0.42,0.08
verw,0.9,0.79,0.47,0.02
sparkont,0.96,0.96,0.82,0.38
beszeit,0.93,0.91,0.73,0.15
rate,0.94,0.94,0.8,0.35
famges,0.94,0.94,0.8,0.37
buerge,0.26,0.33,0.11,0.03
wohnzeit,0.91,0.91,0.73,0.29
verm,1.0,1.0,1.0,0.89
weitkred,0.45,0.49,0.21,0.03
wohn,0.87,0.89,0.69,0.31
bishkred,0.66,0.57,0.33,0.01
beruf,0.76,0.73,0.44,0.03
pers,0.51,0.61,0.34,0.18
telef,0.93,0.95,0.87,0.58
gastarb,0.26,0.37,0.15,0.08
kredit,0.83,0.87,0.71,0.41
