value,frequency,column
Male,0.8105753646677472,sex
Female,0.18942463533225284,sex
25 - 45,0.5749594813614263,age_cat
Less than 25,0.21758508914100486,age_cat
Greater than 45,0.20745542949756887,age_cat
African-American,0.5204619124797407,race
Caucasian,0.33529173419773095,race
Hispanic,0.08225283630470016,race
Other,0.05571312803889789,race
Asian,0.0042544570502431114,race
Native American,0.002025931928687196,race
F,0.6482982171799028,c_charge_degree
M,0.35170178282009723,c_charge_degree
0,0.5160048622366289,is_recid
1,0.48399513776337116,is_recid
Low,0.5526742301458671,score_text
Medium,0.260129659643436,score_text
High,0.18719611021069693,score_text
0,0.5455834683954619,two_year_recid
1,0.4544165316045381,two_year_recid
