48, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,48, United-States, >50K
50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,3325,0,40, United-States, <=50K
72, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,2161,8, United-States, >50K
26, Private, 12th, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,54, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,12, United-States, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
68, Self-emp-inc, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,25682,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
19, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Haiti, >50K
23, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, Mexico, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
42, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,9630,0,40, United-States, >50K
21, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,2174,0,40, United-States, <=50K
33, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,2109,40, Germany, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
54, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,21, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,3103,0,40, United-States, >50K
19, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,4, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,7298,0,15, United-States, >50K
23, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,54, United-States, <=50K
35, Federal-gov, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
62, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, Masters, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
57, Local-gov, 7th-8th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,24, Guatemala, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Yugoslavia, >50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,55, United-States, <=50K
47, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,21, United-States, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,1777,25, United-States, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, 12th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Mexico, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, Mexico, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Trinadad&Tobago, <=50K
18, Private, 12th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
57, Private, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Local-gov, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Italy, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,38, Puerto-Rico, <=50K
64, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
28, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
52, Local-gov, Doctorate, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, <=50K
49, Private, Some-college, Separated, Craft-repair, Wife, White, Female,0,51,4, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,2945,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,24, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,1984,55, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Wife, Black, Female,0,0,40, Italy, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
