Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.97,0.66
moral,0.78,0.74,0.41,0.05
verw,0.89,0.77,0.45,0.0
sparkont,0.94,0.94,0.77,0.32
beszeit,0.95,0.93,0.79,0.17
rate,0.91,0.91,0.71,0.3
famges,0.94,0.93,0.78,0.36
buerge,0.28,0.36,0.12,0.03
wohnzeit,0.93,0.93,0.78,0.3
verm,1.0,1.0,1.0,0.89
weitkred,0.47,0.51,0.23,0.03
wohn,0.88,0.9,0.72,0.33
bishkred,0.66,0.58,0.33,0.01
beruf,0.72,0.69,0.39,0.02
pers,0.54,0.64,0.37,0.19
telef,0.96,0.97,0.93,0.67
gastarb,0.22,0.32,0.12,0.06
kredit,0.83,0.88,0.72,0.42
