Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.14
moral,0.78,0.74,0.41,0.07
verw,0.91,0.81,0.5,0.04
sparkont,0.73,0.72,0.35,0.07
beszeit,0.95,0.93,0.79,0.19
rate,0.9,0.91,0.7,0.28
famges,0.78,0.77,0.48,0.1
buerge,0.26,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.3
verm,0.98,0.97,0.91,0.48
weitkred,0.48,0.54,0.23,0.06
wohn,0.68,0.73,0.41,0.16
bishkred,0.64,0.57,0.31,0.01
beruf,0.72,0.7,0.4,0.02
pers,0.56,0.65,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.14,0.22,0.08,0.04
kredit,0.84,0.88,0.72,0.42
