Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.8,0.76,0.44,0.1
verw,0.88,0.77,0.45,0.02
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.94,0.79,0.22
rate,0.93,0.93,0.76,0.38
famges,1.0,1.0,0.98,0.73
buerge,0.33,0.41,0.14,0.05
wohnzeit,0.94,0.93,0.79,0.32
verm,1.0,1.0,0.99,0.83
weitkred,0.52,0.57,0.26,0.07
wohn,1.0,1.0,0.99,0.87
bishkred,0.68,0.62,0.35,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.67
gastarb,1.0,1.0,0.99,0.87
kredit,0.85,0.89,0.74,0.45
