Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.78,0.74,0.41,0.08
verw,0.9,0.79,0.49,0.01
sparkont,1.0,1.0,0.99,0.8
beszeit,0.93,0.91,0.74,0.14
rate,0.93,0.93,0.76,0.35
famges,1.0,1.0,0.98,0.72
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.94,0.94,0.81,0.37
verm,1.0,1.0,0.99,0.83
weitkred,0.53,0.58,0.27,0.07
wohn,1.0,1.0,0.99,0.86
bishkred,0.67,0.61,0.33,0.03
beruf,0.69,0.67,0.36,0.02
pers,0.6,0.69,0.43,0.23
telef,0.98,0.98,0.95,0.73
gastarb,1.0,1.0,0.99,0.88
kredit,0.84,0.88,0.73,0.43
