Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.78,0.74,0.41,0.07
verw,0.9,0.8,0.47,0.04
sparkont,0.74,0.73,0.36,0.09
beszeit,0.95,0.93,0.78,0.17
rate,0.9,0.9,0.69,0.28
famges,0.81,0.79,0.51,0.1
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.76,0.32
verm,0.98,0.97,0.92,0.48
weitkred,0.47,0.52,0.23,0.05
wohn,0.67,0.71,0.4,0.14
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.94,0.69
gastarb,0.15,0.24,0.08,0.04
kredit,0.84,0.88,0.73,0.43
