Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.84,0.34
moral,0.8,0.76,0.44,0.09
verw,0.89,0.76,0.44,0.01
sparkont,0.85,0.85,0.53,0.17
beszeit,0.95,0.92,0.78,0.16
rate,0.91,0.91,0.7,0.31
famges,0.86,0.85,0.6,0.2
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.92,0.91,0.75,0.3
verm,0.99,0.99,0.95,0.6
weitkred,0.47,0.52,0.23,0.04
wohn,0.83,0.86,0.63,0.27
bishkred,0.66,0.59,0.32,0.01
beruf,0.74,0.7,0.41,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.52,0.62,0.35,0.18
kredit,0.8,0.85,0.66,0.38
