Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.76
moral,0.8,0.76,0.44,0.08
verw,0.89,0.76,0.45,0.0
sparkont,1.0,1.0,0.99,0.86
beszeit,0.95,0.93,0.79,0.18
rate,0.91,0.91,0.72,0.31
famges,0.99,0.99,0.98,0.69
buerge,0.28,0.36,0.12,0.04
wohnzeit,0.92,0.92,0.75,0.3
verm,1.0,1.0,0.98,0.77
weitkred,0.44,0.48,0.21,0.02
wohn,1.0,1.0,0.99,0.87
bishkred,0.64,0.56,0.31,0.01
beruf,0.67,0.65,0.33,0.02
pers,0.46,0.57,0.3,0.15
telef,0.97,0.98,0.94,0.69
gastarb,0.98,0.99,0.97,0.78
kredit,0.83,0.87,0.71,0.42
