Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.81,0.78,0.46,0.09
verw,0.92,0.84,0.58,0.05
sparkont,1.0,1.0,0.99,0.8
beszeit,0.96,0.95,0.83,0.25
rate,0.9,0.9,0.7,0.24
famges,1.0,1.0,0.99,0.76
buerge,0.34,0.42,0.15,0.06
wohnzeit,0.95,0.94,0.81,0.37
verm,1.0,1.0,1.0,0.87
weitkred,0.51,0.57,0.26,0.08
wohn,1.0,1.0,1.0,0.88
bishkred,0.66,0.58,0.32,0.02
beruf,0.72,0.69,0.4,0.02
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.94,0.69
gastarb,1.0,1.0,0.99,0.88
kredit,0.88,0.91,0.78,0.48
