value,frequency,column
4,0.39625,laufkont
1,0.27,laufkont
2,0.2675,laufkont
3,0.06625,laufkont
2,0.53375,moral
4,0.29125,moral
3,0.0875,moral
1,0.05,moral
0,0.0375,moral
3,0.2875,verw
0,0.23,verw
2,0.175,verw
9,0.1025,verw
1,0.09875,verw
6,0.0525,verw
5,0.0225,verw
4,0.01375,verw
8,0.01,verw
10,0.0075,verw
1,0.59875,sparkont
5,0.18625,sparkont
2,0.1025,sparkont
3,0.06625,sparkont
4,0.04625,sparkont
3,0.335,beszeit
5,0.2575,beszeit
2,0.185,beszeit
4,0.16625,beszeit
1,0.05625,beszeit
4,0.475,rate
2,0.23125,rate
3,0.155,rate
1,0.13875,rate
3,0.53625,famges
2,0.3225,famges
4,0.09125,famges
1,0.05,famges
1,0.90125,buerge
3,0.055,buerge
2,0.04375,buerge
4,0.42,wohnzeit
2,0.30125,wohnzeit
3,0.14625,wohnzeit
1,0.1325,wohnzeit
3,0.325,verm
1,0.2875,verm
2,0.2375,verm
4,0.15,verm
3,0.8175,weitkred
1,0.13875,weitkred
2,0.04375,weitkred
2,0.715,wohn
1,0.18375,wohn
3,0.10125,wohn
1,0.63875,bishkred
2,0.3325,bishkred
3,0.02625,bishkred
4,0.0025,bishkred
3,0.6225,beruf
2,0.2125,beruf
4,0.1425,beruf
1,0.0225,beruf
2,0.84,pers
1,0.16,pers
1,0.6075,telef
2,0.3925,telef
2,0.9625,gastarb
1,0.0375,gastarb
1,0.71,kredit
0,0.29,kredit
