Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.76
moral,0.78,0.73,0.41,0.06
verw,0.9,0.79,0.47,0.0
sparkont,0.99,0.98,0.93,0.53
beszeit,0.95,0.92,0.78,0.16
rate,0.91,0.91,0.71,0.29
famges,0.97,0.97,0.91,0.53
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.77,0.34
verm,1.0,1.0,1.0,0.86
weitkred,0.48,0.53,0.23,0.05
wohn,0.97,0.97,0.92,0.55
bishkred,0.64,0.57,0.31,0.02
beruf,0.72,0.7,0.39,0.03
pers,0.5,0.6,0.33,0.17
telef,0.95,0.96,0.9,0.63
gastarb,0.32,0.42,0.19,0.09
kredit,0.76,0.82,0.61,0.34
