28, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Germany, <=50K
29, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, India, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Honduras, <=50K
57, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,1974,40, United-States, >50K
35, Private, 12th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Hong, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,7298,0,38, India, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, Guatemala, <=50K
55, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,75, United-States, <=50K
32, Private, 1st-4th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,60, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, <=50K
23, Private, Preschool, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1902,35, United-States, <=50K
73, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,30, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, Vietnam, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,15024,0,60, United-States, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Yugoslavia, <=50K
20, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Haiti, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Hungary, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,30, Greece, <=50K
63, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,35, Japan, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,40, Canada, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,7298,0,40, China, >50K
28, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
26, Private, Prof-school, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Tech-support, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,19, Honduras, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Nicaragua, <=50K
45, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Honduras, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,49, Greece, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
21, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
37, Local-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,45, Iran, <=50K
48, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, South, <=50K
50, Local-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,10520,0,40, United-States, >50K
33, Private, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,54, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Portugal, <=50K
29, Private, Preschool, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,54, Yugoslavia, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,35, Greece, >50K
