Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.93,0.81,0.25
moral,0.81,0.78,0.46,0.1
verw,0.88,0.78,0.46,0.01
sparkont,0.71,0.7,0.32,0.07
beszeit,0.94,0.92,0.77,0.16
rate,0.91,0.91,0.7,0.29
famges,0.79,0.77,0.49,0.09
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.93,0.79,0.31
verm,0.98,0.98,0.94,0.53
weitkred,0.49,0.53,0.24,0.05
wohn,0.73,0.77,0.48,0.18
bishkred,0.68,0.62,0.35,0.03
beruf,0.73,0.71,0.41,0.03
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.94,0.7
gastarb,0.18,0.28,0.1,0.05
kredit,0.84,0.88,0.73,0.43
