Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.79,0.76,0.43,0.1
verw,0.89,0.77,0.47,0.01
sparkont,0.74,0.73,0.36,0.09
beszeit,0.93,0.92,0.74,0.19
rate,0.91,0.91,0.72,0.31
famges,0.76,0.74,0.45,0.09
buerge,0.35,0.43,0.15,0.07
wohnzeit,0.94,0.93,0.79,0.33
verm,0.98,0.97,0.91,0.46
weitkred,0.5,0.55,0.25,0.06
wohn,0.73,0.77,0.48,0.19
bishkred,0.66,0.56,0.32,0.01
beruf,0.74,0.7,0.41,0.02
pers,0.68,0.75,0.51,0.27
telef,0.96,0.97,0.92,0.66
gastarb,0.23,0.34,0.13,0.07
kredit,0.85,0.89,0.73,0.44
