Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.73,0.15
moral,0.79,0.76,0.43,0.1
verw,0.9,0.78,0.49,0.01
sparkont,0.74,0.74,0.37,0.08
beszeit,0.94,0.91,0.74,0.11
rate,0.92,0.91,0.73,0.27
famges,0.81,0.79,0.52,0.1
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.94,0.8,0.36
verm,0.99,0.98,0.95,0.57
weitkred,0.54,0.58,0.28,0.06
wohn,0.72,0.76,0.47,0.17
bishkred,0.65,0.59,0.32,0.03
beruf,0.72,0.7,0.39,0.03
pers,0.58,0.67,0.41,0.21
telef,0.95,0.96,0.91,0.64
gastarb,0.21,0.31,0.12,0.06
kredit,0.85,0.89,0.74,0.44
