Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.77,0.22
moral,0.8,0.77,0.45,0.09
verw,0.9,0.8,0.46,0.03
sparkont,0.76,0.76,0.38,0.11
beszeit,0.94,0.92,0.77,0.19
rate,0.89,0.9,0.67,0.29
famges,0.81,0.79,0.51,0.12
buerge,0.22,0.29,0.09,0.02
wohnzeit,0.91,0.9,0.72,0.28
verm,0.99,0.99,0.96,0.63
weitkred,0.48,0.52,0.24,0.04
wohn,0.74,0.78,0.49,0.19
bishkred,0.65,0.57,0.32,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.54,0.63,0.37,0.19
telef,0.97,0.98,0.94,0.69
gastarb,0.26,0.37,0.15,0.08
kredit,0.8,0.85,0.67,0.38
