Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.71,0.17
moral,0.79,0.75,0.43,0.08
verw,0.91,0.81,0.52,0.01
sparkont,0.77,0.76,0.4,0.09
beszeit,0.94,0.92,0.76,0.16
rate,0.92,0.92,0.75,0.35
famges,0.82,0.8,0.52,0.13
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.32
verm,0.99,0.99,0.96,0.61
weitkred,0.49,0.54,0.25,0.05
wohn,0.75,0.79,0.51,0.19
bishkred,0.66,0.58,0.32,0.01
beruf,0.67,0.65,0.34,0.02
pers,0.51,0.61,0.34,0.17
telef,0.93,0.95,0.88,0.59
gastarb,0.26,0.36,0.15,0.07
kredit,0.79,0.84,0.65,0.37
