Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.86
moral,0.8,0.77,0.44,0.1
verw,0.89,0.77,0.47,0.01
sparkont,1.0,1.0,1.0,0.83
beszeit,0.95,0.94,0.81,0.24
rate,0.9,0.9,0.69,0.3
famges,1.0,0.99,0.98,0.71
buerge,0.33,0.41,0.14,0.05
wohnzeit,0.94,0.93,0.79,0.33
verm,1.0,1.0,0.99,0.76
weitkred,0.5,0.55,0.25,0.05
wohn,1.0,1.0,1.0,0.87
bishkred,0.66,0.56,0.32,0.01
beruf,0.73,0.69,0.4,0.01
pers,0.64,0.72,0.47,0.25
telef,0.97,0.98,0.93,0.69
gastarb,0.99,0.99,0.98,0.82
kredit,0.86,0.9,0.76,0.46
