Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.88,0.73,0.12
moral,0.8,0.77,0.45,0.09
verw,0.87,0.74,0.41,0.0
sparkont,0.71,0.71,0.33,0.09
beszeit,0.93,0.92,0.74,0.17
rate,0.92,0.92,0.75,0.31
famges,0.78,0.74,0.46,0.07
buerge,0.31,0.38,0.13,0.05
wohnzeit,0.93,0.93,0.78,0.3
verm,0.98,0.98,0.94,0.54
weitkred,0.53,0.58,0.27,0.06
wohn,0.71,0.75,0.45,0.17
bishkred,0.65,0.59,0.32,0.03
beruf,0.69,0.66,0.36,0.01
pers,0.64,0.72,0.47,0.25
telef,0.98,0.98,0.95,0.73
gastarb,0.22,0.32,0.12,0.06
kredit,0.84,0.88,0.72,0.43
