Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.78,0.74,0.42,0.07
verw,0.9,0.8,0.5,0.01
sparkont,1.0,1.0,0.99,0.78
beszeit,0.95,0.93,0.78,0.17
rate,0.91,0.91,0.72,0.31
famges,1.0,1.0,0.98,0.73
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.93,0.92,0.77,0.27
verm,1.0,1.0,0.99,0.8
weitkred,0.55,0.6,0.29,0.07
wohn,1.0,1.0,0.99,0.83
bishkred,0.67,0.59,0.33,0.03
beruf,0.74,0.71,0.41,0.02
pers,0.56,0.66,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.99,1.0,0.99,0.85
kredit,0.85,0.89,0.73,0.44
