48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Hong, >50K
22, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Nicaragua, <=50K
19, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, Mexico, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 10th, Never-married, Other-service, Other-relative, White, Female,0,0,40, Mexico, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Jamaica, <=50K
65, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,25, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,38, Ireland, <=50K
63, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Columbia, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,42, Hong, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,38, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, >50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
38, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
47, Federal-gov, HS-grad, Divorced, Craft-repair, Unmarried, Black, Male,0,0,40, Italy, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, United-States, >50K
59, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,15, France, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, South, <=50K
26, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,2690,0,40, China, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,5160,0,50, Columbia, <=50K
51, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,48, Laos, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
68, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,16, India, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
41, Federal-gov, Bachelors, Never-married, Craft-repair, Wife, White, Male,0,2439,45, United-States, >50K
48, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
45, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
62, Federal-gov, 12th, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,16, Peru, <=50K
36, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
63, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Male,26087,0,75, United-States, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,30, Honduras, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Italy, <=50K
63, Self-emp-not-inc, 9th, Widowed, Other-service, Not-in-family, White, Female,0,0,32, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1384,40, United-States, >50K
60, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
47, Self-emp-not-inc, 10th, Never-married, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, >50K
56, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-inc, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,45, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Italy, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Dominican-Republic, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
79, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,10, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Trinadad&Tobago, >50K
