65, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, Italy, >50K
45, Private, Assoc-voc, Never-married, Armed-Forces, Unmarried, White, Female,0,0,9, France, <=50K
59, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, England, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
25, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, El-Salvador, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, Ecuador, <=50K
36, Local-gov, Masters, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, Trinadad&Tobago, <=50K
38, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, Trinadad&Tobago, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,45, Peru, >50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, >50K
23, Private, Prof-school, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Scotland, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
