Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.74
moral,0.79,0.74,0.43,0.08
verw,0.9,0.79,0.47,0.02
sparkont,0.99,0.98,0.94,0.56
beszeit,0.93,0.91,0.73,0.15
rate,0.94,0.94,0.79,0.35
famges,0.98,0.98,0.93,0.55
buerge,0.26,0.33,0.11,0.03
wohnzeit,0.91,0.91,0.73,0.3
verm,1.0,1.0,0.99,0.81
weitkred,0.45,0.49,0.21,0.03
wohn,0.98,0.98,0.95,0.64
bishkred,0.66,0.57,0.33,0.01
beruf,0.76,0.73,0.44,0.03
pers,0.51,0.61,0.34,0.18
telef,0.93,0.95,0.87,0.58
gastarb,0.96,0.97,0.93,0.67
kredit,0.82,0.87,0.7,0.41
