28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Jamaica, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, France, <=50K
23, Private, HS-grad, Never-married, Other-service, Other-relative, Other, Male,0,0,40, England, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Protective-serv, Own-child, Black, Female,0,0,25, England, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, El-Salvador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Ecuador, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,54, Trinadad&Tobago, <=50K
42, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Trinadad&Tobago, >50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,5063,0,50, Jamaica, >50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,7687,0,70, Philippines, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
28, Private, Masters, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Scotland, >50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,7298,0,50, Vietnam, >50K
48, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,45, Yugoslavia, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,7157,0,60, Yugoslavia, <=50K
37, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Mexico, <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, United-States, <=50K
43, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Columbia, >50K
23, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,3325,0,40, England, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, Ecuador, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Greece, <=50K
38, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,55, Canada, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
19, State-gov, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
41, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,45, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1672,40, Haiti, <=50K
25, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Haiti, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, El-Salvador, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Ecuador, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Philippines, >50K
37, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Nicaragua, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Germany, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,99999,0,40, Scotland, >50K
