25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ireland, >50K
53, Private, Assoc-acdm, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,1831,38, England, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,3974,0,40, United-States, <=50K
33, Private, 9th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
51, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
25, Private, HS-grad, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
71, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,15415,0,37, Canada, >50K
24, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
41, Private, Bachelors, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,4930,0,50, Japan, >50K
31, Private, Bachelors, Never-married, Farming-fishing, Husband, Black, Male,99999,0,50, Yugoslavia, >50K
27, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Ecuador, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,70, Jamaica, <=50K
34, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Germany, >50K
25, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, Cambodia, <=50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,15, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Thailand, <=50K
36, Local-gov, Some-college, Married-spouse-absent, Sales, Unmarried, Amer-Indian-Eskimo, Female,27788,0,25, Scotland, >50K
47, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
65, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,15, Guatemala, <=50K
76, Private, Assoc-acdm, Widowed, Prof-specialty, Not-in-family, Other, Female,0,0,20, Guatemala, <=50K
60, State-gov, HS-grad, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
