Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.28
moral,0.8,0.76,0.44,0.09
verw,0.89,0.77,0.46,0.01
sparkont,0.76,0.76,0.39,0.09
beszeit,0.95,0.93,0.78,0.2
rate,0.91,0.91,0.71,0.28
famges,0.82,0.8,0.52,0.11
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.92,0.92,0.75,0.32
verm,0.98,0.98,0.92,0.5
weitkred,0.56,0.61,0.3,0.08
wohn,0.73,0.77,0.47,0.17
bishkred,0.66,0.6,0.33,0.04
beruf,0.72,0.69,0.39,0.02
pers,0.61,0.69,0.43,0.23
telef,0.96,0.97,0.92,0.65
gastarb,0.25,0.35,0.14,0.07
kredit,0.87,0.9,0.77,0.47
