Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.73
moral,0.81,0.77,0.45,0.08
verw,0.9,0.8,0.47,0.03
sparkont,1.0,1.0,1.0,0.87
beszeit,0.95,0.93,0.78,0.17
rate,0.92,0.92,0.74,0.35
famges,1.0,1.0,0.99,0.75
buerge,0.23,0.3,0.09,0.02
wohnzeit,0.91,0.9,0.73,0.29
verm,1.0,1.0,0.99,0.83
weitkred,0.49,0.53,0.24,0.04
wohn,1.0,1.0,0.99,0.88
bishkred,0.65,0.59,0.32,0.02
beruf,0.72,0.7,0.39,0.03
pers,0.55,0.64,0.38,0.2
telef,0.97,0.98,0.94,0.71
gastarb,1.0,1.0,0.99,0.9
kredit,0.78,0.83,0.63,0.36
