37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,9, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
53, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
56, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,54, Vietnam, <=50K
42, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,30, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, >50K
23, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,10, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,38, United-States, <=50K
26, Private, Doctorate, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, >50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,42, United-States, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,35, United-States, >50K
66, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,1902,40, United-States, <=50K
30, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,35, Mexico, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Greece, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,31, Greece, >50K
33, State-gov, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,0,21, United-States, <=50K
37, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,15, United-States, <=50K
24, Private, Some-college, Never-married, Tech-support, Other-relative, Black, Female,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
49, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, <=50K
33, Private, Doctorate, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, White, Male,0,0,50, United-States, >50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
30, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
35, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
35, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,1902,45, United-States, >50K
53, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
27, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
45, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
38, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,7687,0,40, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, United-States, >50K
