Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.8,0.22
moral,0.81,0.78,0.46,0.1
verw,0.91,0.81,0.52,0.02
sparkont,0.76,0.76,0.39,0.13
beszeit,0.94,0.92,0.77,0.16
rate,0.91,0.91,0.71,0.31
famges,0.81,0.79,0.52,0.14
buerge,0.34,0.42,0.15,0.06
wohnzeit,0.93,0.93,0.77,0.33
verm,0.97,0.97,0.89,0.41
weitkred,0.56,0.6,0.29,0.06
wohn,0.73,0.76,0.48,0.16
bishkred,0.69,0.63,0.36,0.04
beruf,0.73,0.71,0.41,0.02
pers,0.62,0.7,0.45,0.24
telef,0.97,0.98,0.95,0.72
gastarb,0.35,0.46,0.21,0.11
kredit,0.88,0.91,0.79,0.49
