Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.82,0.27
moral,0.8,0.77,0.45,0.08
verw,0.9,0.78,0.49,0.02
sparkont,0.79,0.78,0.43,0.1
beszeit,0.95,0.93,0.79,0.19
rate,0.91,0.91,0.71,0.28
famges,0.8,0.77,0.49,0.11
buerge,0.3,0.38,0.13,0.04
wohnzeit,0.95,0.94,0.82,0.39
verm,0.99,0.99,0.95,0.56
weitkred,0.48,0.53,0.24,0.05
wohn,0.75,0.79,0.5,0.19
bishkred,0.67,0.6,0.33,0.02
beruf,0.73,0.7,0.4,0.02
pers,0.54,0.64,0.37,0.19
telef,0.97,0.98,0.94,0.71
gastarb,0.32,0.43,0.19,0.1
kredit,0.85,0.89,0.74,0.44
