Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.77,0.19
moral,0.81,0.78,0.47,0.1
verw,0.91,0.81,0.55,0.02
sparkont,0.74,0.73,0.36,0.07
beszeit,0.96,0.94,0.82,0.25
rate,0.92,0.92,0.75,0.3
famges,0.77,0.74,0.46,0.1
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.78,0.34
verm,0.98,0.98,0.93,0.51
weitkred,0.54,0.59,0.28,0.06
wohn,0.7,0.74,0.44,0.17
bishkred,0.67,0.61,0.34,0.03
beruf,0.66,0.65,0.33,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.71
gastarb,0.22,0.32,0.12,0.06
kredit,0.9,0.93,0.82,0.52
