Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.79,0.75,0.43,0.09
verw,0.89,0.77,0.46,0.0
sparkont,1.0,1.0,0.99,0.8
beszeit,0.96,0.95,0.84,0.29
rate,0.92,0.92,0.73,0.31
famges,1.0,1.0,0.99,0.77
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.93,0.78,0.32
verm,1.0,1.0,0.99,0.83
weitkred,0.5,0.56,0.25,0.06
wohn,1.0,1.0,1.0,0.87
bishkred,0.66,0.59,0.33,0.03
beruf,0.72,0.7,0.39,0.03
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.94,0.71
gastarb,1.0,1.0,0.99,0.88
kredit,0.85,0.89,0.73,0.44
