Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.95,0.84,0.32
moral,0.8,0.76,0.44,0.07
verw,0.88,0.76,0.43,0.01
sparkont,0.87,0.86,0.56,0.19
beszeit,0.96,0.94,0.81,0.22
rate,0.91,0.91,0.71,0.33
famges,0.87,0.86,0.62,0.21
buerge,0.32,0.4,0.13,0.05
wohnzeit,0.91,0.9,0.72,0.27
verm,0.99,0.99,0.97,0.69
weitkred,0.52,0.56,0.27,0.05
wohn,0.85,0.87,0.65,0.27
bishkred,0.65,0.58,0.32,0.01
beruf,0.72,0.7,0.4,0.02
pers,0.5,0.6,0.34,0.17
telef,0.96,0.97,0.92,0.66
gastarb,0.53,0.63,0.36,0.19
kredit,0.84,0.88,0.73,0.43
