value,frequency,column
4,0.38625,laufkont
1,0.28375,laufkont
2,0.26375,laufkont
3,0.06625,laufkont
2,0.52875,moral
4,0.295,moral
3,0.085,moral
1,0.05125,moral
0,0.04,moral
3,0.2925,verw
0,0.24125,verw
2,0.17625,verw
1,0.10625,verw
9,0.09,verw
6,0.045,verw
5,0.01875,verw
10,0.01125,verw
4,0.01125,verw
8,0.0075,verw
1,0.6075,sparkont
5,0.17875,sparkont
2,0.1,sparkont
3,0.065,sparkont
4,0.04875,sparkont
3,0.335,beszeit
5,0.25375,beszeit
4,0.17625,beszeit
2,0.17125,beszeit
1,0.06375,beszeit
4,0.4825,rate
2,0.22625,rate
3,0.15375,rate
1,0.1375,rate
3,0.5425,famges
2,0.3075,famges
4,0.09875,famges
1,0.05125,famges
1,0.9,buerge
3,0.05375,buerge
2,0.04625,buerge
4,0.405,wohnzeit
2,0.315,wohnzeit
3,0.155,wohnzeit
1,0.125,wohnzeit
3,0.32625,verm
1,0.2825,verm
2,0.2325,verm
4,0.15875,verm
3,0.81375,weitkred
1,0.1425,weitkred
2,0.04375,weitkred
2,0.705,wohn
1,0.18375,wohn
3,0.11125,wohn
1,0.6375,bishkred
2,0.33,bishkred
3,0.02875,bishkred
4,0.00375,bishkred
3,0.6375,beruf
2,0.19125,beruf
4,0.1475,beruf
1,0.02375,beruf
2,0.8525,pers
1,0.1475,pers
1,0.58875,telef
2,0.41125,telef
2,0.96375,gastarb
1,0.03625,gastarb
1,0.70125,kredit
0,0.29875,kredit
