Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.81,0.24
moral,0.8,0.76,0.44,0.1
verw,0.89,0.77,0.44,0.0
sparkont,0.79,0.78,0.43,0.12
beszeit,0.95,0.93,0.8,0.19
rate,0.93,0.93,0.77,0.34
famges,0.82,0.8,0.53,0.11
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.94,0.81,0.34
verm,0.98,0.98,0.94,0.51
weitkred,0.5,0.55,0.25,0.06
wohn,0.74,0.77,0.48,0.19
bishkred,0.67,0.6,0.33,0.03
beruf,0.71,0.68,0.38,0.02
pers,0.62,0.71,0.45,0.24
telef,0.96,0.97,0.92,0.66
gastarb,0.25,0.36,0.14,0.07
kredit,0.86,0.89,0.75,0.45
