Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.17
moral,0.8,0.76,0.45,0.07
verw,0.9,0.79,0.49,0.01
sparkont,0.72,0.72,0.34,0.07
beszeit,0.96,0.95,0.83,0.24
rate,0.91,0.91,0.71,0.29
famges,0.8,0.76,0.49,0.09
buerge,0.29,0.38,0.12,0.06
wohnzeit,0.93,0.93,0.78,0.34
verm,0.99,0.98,0.95,0.57
weitkred,0.51,0.57,0.25,0.07
wohn,0.74,0.77,0.48,0.19
bishkred,0.68,0.62,0.35,0.02
beruf,0.74,0.73,0.42,0.04
pers,0.61,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.22,0.32,0.12,0.06
kredit,0.83,0.88,0.71,0.42
