Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.74,0.15
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.48,0.02
sparkont,0.73,0.73,0.35,0.09
beszeit,0.95,0.94,0.8,0.21
rate,0.91,0.91,0.7,0.3
famges,0.79,0.77,0.48,0.09
buerge,0.22,0.3,0.09,0.04
wohnzeit,0.93,0.92,0.76,0.32
verm,0.98,0.98,0.94,0.53
weitkred,0.46,0.52,0.22,0.06
wohn,0.68,0.73,0.42,0.16
bishkred,0.66,0.58,0.33,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.94,0.69
gastarb,0.14,0.22,0.08,0.04
kredit,0.81,0.86,0.68,0.39
