Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.76,0.72,0.39,0.07
verw,0.9,0.79,0.46,0.01
sparkont,0.99,0.99,0.97,0.69
beszeit,0.94,0.92,0.75,0.16
rate,0.94,0.94,0.79,0.33
famges,0.99,0.99,0.97,0.67
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,1.0,1.0,1.0,0.87
weitkred,0.49,0.55,0.25,0.06
wohn,1.0,1.0,0.99,0.79
bishkred,0.65,0.58,0.32,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.5,0.6,0.34,0.17
telef,0.94,0.96,0.9,0.62
gastarb,0.99,0.99,0.97,0.79
kredit,0.87,0.91,0.77,0.47
