Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.14
moral,0.77,0.73,0.4,0.07
verw,0.9,0.81,0.48,0.04
sparkont,0.73,0.72,0.35,0.08
beszeit,0.95,0.93,0.78,0.18
rate,0.9,0.9,0.7,0.28
famges,0.8,0.78,0.51,0.1
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.94,0.93,0.79,0.34
verm,0.98,0.97,0.92,0.47
weitkred,0.47,0.53,0.23,0.06
wohn,0.66,0.71,0.4,0.15
bishkred,0.65,0.57,0.32,0.01
beruf,0.71,0.7,0.38,0.04
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.93,0.67
gastarb,0.13,0.21,0.07,0.03
kredit,0.85,0.89,0.74,0.45
