Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.92,0.46
moral,0.79,0.76,0.43,0.08
verw,0.9,0.81,0.51,0.03
sparkont,0.9,0.9,0.65,0.25
beszeit,0.95,0.93,0.8,0.2
rate,0.92,0.92,0.73,0.31
famges,0.91,0.91,0.72,0.3
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.94,0.93,0.79,0.35
verm,0.99,0.99,0.96,0.63
weitkred,0.52,0.58,0.27,0.07
wohn,0.9,0.91,0.75,0.34
bishkred,0.65,0.57,0.32,0.02
beruf,0.73,0.67,0.4,0.0
pers,0.65,0.73,0.48,0.25
telef,0.97,0.98,0.94,0.7
gastarb,0.71,0.78,0.55,0.3
kredit,0.85,0.89,0.73,0.44
