value,frequency,column
4,0.41875,laufkont
1,0.26375,laufkont
2,0.23625,laufkont
3,0.08125,laufkont
2,0.52625,moral
4,0.30625,moral
3,0.0675,moral
0,0.05,moral
1,0.05,moral
3,0.28875,verw
0,0.21875,verw
2,0.19,verw
1,0.10875,verw
9,0.10625,verw
6,0.0375,verw
5,0.03375,verw
4,0.0075,verw
8,0.005,verw
10,0.00375,verw
1,0.605,sparkont
5,0.1725,sparkont
2,0.10625,sparkont
3,0.06,sparkont
4,0.05625,sparkont
3,0.34,beszeit
5,0.2525,beszeit
4,0.1725,beszeit
2,0.16625,beszeit
1,0.06875,beszeit
4,0.47375,rate
2,0.23375,rate
3,0.16875,rate
1,0.12375,rate
3,0.54875,famges
2,0.30375,famges
4,0.07875,famges
1,0.06875,famges
1,0.8925,buerge
3,0.06625,buerge
2,0.04125,buerge
4,0.4,wohnzeit
2,0.3125,wohnzeit
1,0.145,wohnzeit
3,0.1425,wohnzeit
3,0.355,verm
1,0.25,verm
2,0.22,verm
4,0.175,verm
3,0.7975,weitkred
1,0.1625,weitkred
2,0.04,weitkred
2,0.69375,wohn
1,0.18625,wohn
3,0.12,wohn
1,0.61375,bishkred
2,0.34,bishkred
3,0.0375,bishkred
4,0.00875,bishkred
3,0.62375,beruf
2,0.2,beruf
4,0.16125,beruf
1,0.015,beruf
2,0.84375,pers
1,0.15625,pers
1,0.60375,telef
2,0.39625,telef
2,0.93375,gastarb
1,0.06625,gastarb
1,0.68625,kredit
0,0.31375,kredit
