Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.73,0.14
moral,0.78,0.74,0.42,0.08
verw,0.9,0.81,0.49,0.04
sparkont,0.75,0.74,0.37,0.08
beszeit,0.94,0.92,0.76,0.16
rate,0.91,0.91,0.71,0.3
famges,0.8,0.78,0.5,0.09
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.97,0.92,0.46
weitkred,0.49,0.55,0.24,0.07
wohn,0.68,0.73,0.42,0.16
bishkred,0.65,0.57,0.31,0.01
beruf,0.7,0.68,0.37,0.02
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.92,0.66
gastarb,0.15,0.24,0.08,0.04
kredit,0.82,0.87,0.7,0.41
