Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.79,0.74,0.42,0.08
verw,0.9,0.77,0.46,0.0
sparkont,1.0,1.0,0.99,0.84
beszeit,0.94,0.92,0.76,0.14
rate,0.91,0.91,0.71,0.34
famges,1.0,0.99,0.98,0.71
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.77,0.34
verm,1.0,1.0,0.99,0.81
weitkred,0.48,0.53,0.24,0.04
wohn,1.0,1.0,0.99,0.84
bishkred,0.65,0.58,0.32,0.01
beruf,0.65,0.64,0.32,0.01
pers,0.47,0.58,0.31,0.16
telef,0.93,0.95,0.87,0.58
gastarb,0.98,0.99,0.97,0.77
kredit,0.83,0.87,0.71,0.41
