35, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
23, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,10, Ireland, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, England, <=50K
52, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,50, United-States, <=50K
52, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,54, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
26, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Dominican-Republic, <=50K
43, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, South, <=50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,30, Taiwan, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Italy, >50K
23, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Nicaragua, >50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Canada, <=50K
59, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Portugal, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
37, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,44, Yugoslavia, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Japan, >50K
63, Private, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,0,0,20, Yugoslavia, <=50K
37, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Japan, <=50K
46, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,1977,40, United-States, <=50K
27, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,35, China, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,30, El-Salvador, <=50K
39, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,30, Dominican-Republic, <=50K
31, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, Germany, <=50K
29, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,35, Canada, >50K
30, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,24, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,15, Trinadad&Tobago, <=50K
22, Private, Some-college, Never-married, Tech-support, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Scotland, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,12, El-Salvador, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,48, Guatemala, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
25, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
33, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Laos, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,99999,0,50, Laos, >50K
28, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, France, <=50K
29, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,70, Mexico, <=50K
33, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Portugal, >50K
32, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,1976,45, England, >50K
50, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Hungary, <=50K
25, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
53, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, Black, Male,0,0,40, Japan, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
51, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Cuba, >50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,70, Ecuador, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,38, India, <=50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,10552,0,40, Peru, >50K
58, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,15, Jamaica, <=50K
54, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, >50K
41, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, Taiwan, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
30, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,70, Canada, >50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,45, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,5013,0,40, Thailand, >50K
32, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,25, Greece, <=50K
55, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Poland, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,40, Haiti, >50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Puerto-Rico, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,45, Japan, <=50K
32, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Iran, <=50K
48, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
27, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Female,5013,0,45, Germany, <=50K
26, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Laos, >50K
29, Private, 12th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
