Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.42,0.08
verw,0.9,0.8,0.48,0.03
sparkont,0.73,0.73,0.36,0.08
beszeit,0.95,0.94,0.8,0.2
rate,0.91,0.91,0.71,0.3
famges,0.79,0.77,0.49,0.09
buerge,0.24,0.32,0.09,0.04
wohnzeit,0.93,0.92,0.77,0.34
verm,0.98,0.98,0.92,0.48
weitkred,0.47,0.53,0.23,0.06
wohn,0.66,0.71,0.4,0.15
bishkred,0.65,0.57,0.32,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.5,0.6,0.33,0.17
telef,0.97,0.98,0.95,0.72
gastarb,0.14,0.23,0.08,0.04
kredit,0.83,0.88,0.72,0.42
