24, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, Ireland, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,20, El-Salvador, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,55, Ecuador, <=50K
68, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, Yugoslavia, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
53, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, South, <=50K
40, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, South, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, Ireland, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, >50K
29, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,7298,0,45, Canada, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, Black, Male,0,0,40, Dominican-Republic, <=50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Puerto-Rico, <=50K
26, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Vietnam, <=50K
53, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,20, Yugoslavia, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,1591,30, Japan, <=50K
45, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,54, Yugoslavia, <=50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Ecuador, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Jamaica, <=50K
44, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, China, <=50K
34, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, El-Salvador, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,18, Dominican-Republic, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
51, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,35, Canada, <=50K
67, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
27, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Scotland, <=50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, El-Salvador, >50K
37, Private, Some-college, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Guatemala, <=50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, Guatemala, <=50K
39, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,35, Ecuador, <=50K
56, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
