Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.17
moral,0.78,0.74,0.42,0.08
verw,0.9,0.8,0.47,0.03
sparkont,0.74,0.73,0.36,0.09
beszeit,0.94,0.92,0.76,0.17
rate,0.91,0.91,0.72,0.29
famges,0.8,0.78,0.5,0.1
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.92,0.91,0.73,0.29
verm,0.98,0.97,0.91,0.46
weitkred,0.46,0.52,0.22,0.06
wohn,0.68,0.73,0.42,0.16
bishkred,0.66,0.57,0.32,0.01
beruf,0.73,0.71,0.4,0.04
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.94,0.69
gastarb,0.15,0.24,0.08,0.04
kredit,0.85,0.89,0.74,0.44
