29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Hong, <=50K
37, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Mexico, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Japan, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Iran, <=50K
18, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
42, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, India, <=50K
29, Local-gov, Masters, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, >50K
29, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,42, United-States, >50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,12, China, <=50K
26, Private, Some-college, Married-civ-spouse, Protective-serv, Own-child, Black, Male,0,0,40, Honduras, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
35, Private, Bachelors, Divorced, Transport-moving, Wife, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3676,0,50, Vietnam, >50K
26, Private, Bachelors, Never-married, Other-service, Other-relative, Black, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Vietnam, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,3963,0,40, Ireland, >50K
30, Private, Masters, Divorced, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
74, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Laos, <=50K
54, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, India, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
19, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, Columbia, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Other-relative, Other, Male,0,0,40, Columbia, <=50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1902,40, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,4489,0,40, Japan, >50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1621,60, United-States, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1688,40, Italy, <=50K
66, Private, Doctorate, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,1289,20, Hungary, <=50K
46, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
